idx	code	taken_at	url	caption
1	DT4PErqk6mo	1769226023	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621193745_17844499281677949_378912915478606201_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=WI4G1wPB-vQQ7kNvwHFyS5M&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af4GkgMhdKUvJYjqfl7As8FKtFT9vg-CQx9xaqv9xxhrGw&oe=69FBD76A&_nc_sid=ee9879	Still trying to make sense of these data clusters. The Aethelgard project is demanding, but the results are starting to look... promising. 🔬 #DataScience #Aethelgard"
2	DT4PBcoE2ts	1769225997	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/620938923_17844499257677949_919322425377166856_n.webp?stp=c0.240.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=-Iw5lXY6MpUQ7kNvwEerUQb&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af6ZbLhFtHLiUBQwqX4nQLFTXzw1EMFCw2wyrbIBnLRvwQ&oe=69FBA87E&_nc_sid=ee9879	Sweet treats to keep the neurons firing. Sometimes the best breakthroughs happen over a sugar rush.
3	DT4O_Gfkwl8	1769225978	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621149029_17844499230677949_1650251047529142223_n.webp?stp=c0.241.1439.1439a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=aM9T3WBnM-YQ7kNvwF-Fb_n&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af5Ri_Pu6UI50VTlvKrfqjzlGLNsROnF3Fkyfi9fdeobdA&oe=69FBA849&_nc_sid=ee9879	Yoguurrrrttt,: yo Gurt : wassup
4	DT4O8ljk-9K	1769225956	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621234685_17844499176677949_402390718082724253_n.webp?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=4IzM7SK2eN8Q7kNvwHAjUQp&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af5xf62T65OkDlHqX0UIEI-Xb5sRVZOhErE1mR12w472FQ&oe=69FBB712&_nc_sid=ee9879	Mapping out the variables. It’s all in the details—the things most people choose to overlook. 📊
5	DT4OwcjExhB	1769225858	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/622069816_17844498801677949_9010752364563677075_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=FinrN3wBe3AQ7kNvwG0IDRv&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af5CGZuQLSY5AH5tp9mI-1I0VwaO_A3yIrinlJcxHuEzWA&oe=69FBC9F1&_nc_sid=ee9879	Things get serious,Precision is key. One drop can change the entire sequence of the experiment. #Laboratory #Chemistry
6	DT4Om0Ok8jN	1769225779	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/620977741_17844498648677949_4055105954955941393_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=UKVopi2mMpEQ7kNvwGcT4HN&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af47Q2yQ2ieGO04cimgOaW7-wb5ZotmZ1CxmS8m-b7LxCA&oe=69FBBC34&_nc_sid=ee9879	Proud of my daughter ❤️
7	DT4ObZCk6fX	1769225685	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/622377768_17844498513677949_780485955027067238_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=_XsdOqn5TV0Q7kNvwFTPJ0R&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af4-r4U4OeymPtklLhVS0d4TXiaYbvJfMMB0DFR9vzEWng&oe=69FBCB4A&_nc_sid=ee9879	Finding balance. Even an analytical mind needs a bit of movement to stay sharp. 🎾
8	DT4OUkMkyja	1769225629	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621835943_17844498342677949_5512591341608294987_n.webp?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=N3i-TiTKmxoQ7kNvwHUj7tx&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af6rhNjgNFDGt5vej2GE-ngW60cNGjBaA2bQQBQgZKBVpA&oe=69FBA9B4&_nc_sid=ee9879	Partners in science, partners in crime. We’ve come a long way since the first draft of the project.
9	DT4OPYIk7hZ	1769225587	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/622326560_17844498189677949_5178756661756353862_n.webp?stp=c0.240.1439.1439a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=eLWWi-BZ3PIQ7kNvwFUpvA7&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af77LFXz1KB_oQ6u2d0rIz6HZpTYkwzUYtHRkNomfZ-3hQ&oe=69FBBD58&_nc_sid=ee9879	Moments of peace away from the screen. Some memories are etched deeper than any digital code. 🌲
10	DT4OJlHEyqv	1769225539	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621664402_17844497958677949_4738900214756473042_n.webp?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=wvXfCVLTxzAQ7kNvwGH56ph&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af4joL3AQ_4hdY6nev_cT6d2ZotvtJJLw4IfvdDJjiyMRg&oe=69FBADB0&_nc_sid=ee9879	My second home. If these walls could talk, they’d tell a story of endless 'history' and late-night breakthroughs.
